Date,Close*
7/19/2011,97.5
7/18/2011,95.93
7/15/2011,97.24
7/14/2011,95.69
7/13/2011,98.05
7/12/2011,97.43
7/11/2011,95.15
7/8/2011,96.2
7/7/2011,98.67
7/6/2011,96.65
7/5/2011,96.89
7/1/2011,94.94
6/30/2011,95.42
6/29/2011,94.77
6/28/2011,92.89
6/27/2011,90.61
6/24/2011,91.16
6/23/2011,91.02
6/22/2011,95.41
6/21/2011,93.4
6/20/2011,93.26
6/17/2011,93.01
6/16/2011,94.95
6/15/2011,94.81
6/14/2011,99.37
6/13/2011,97.3
6/10/2011,99.29
6/9/2011,101.93
6/8/2011,100.74
6/7/2011,99.09
6/6/2011,99.01
6/3/2011,100.22
6/2/2011,100.4
6/1/2011,100.29
5/31/2011,102.7
5/27/2011,100.59
5/26/2011,100.23
5/25/2011,101.32
5/24/2011,99.59
5/23/2011,97.7
5/20/2011,99.49
5/19/2011,98.44
5/18/2011,100.1
5/17/2011,96.91
5/16/2011,97.37
5/13/2011,99.65
5/12/2011,98.97
5/11/2011,98.21
5/10/2011,103.88
5/9/2011,102.55
5/6/2011,97.18
5/5/2011,99.8
5/4/2011,109.24
5/3/2011,111.05
5/2/2011,113.52
4/29/2011,113.93
4/28/2011,112.86
4/27/2011,112.76
4/26/2011,112.21
4/25/2011,112.28
4/21/2011,112.29
4/20/2011,111.45
4/19/2011,108.15
4/18/2011,107.12
4/15/2011,109.66
4/14/2011,108.11
4/13/2011,107.11
4/12/2011,106.25
4/11/2011,109.92
4/8/2011,112.79
4/7/2011,110.3
4/6/2011,108.83
4/5/2011,108.34
4/4/2011,108.47
4/1/2011,107.94
3/31/2011,106.72
3/30/2011,104.27
3/29/2011,104.79
3/28/2011,103.98
3/25/2011,105.4
3/24/2011,105.6
3/23/2011,105.75
3/22/2011,104
3/21/2011,102.33
3/18/2011,101.07
3/17/2011,101.42
3/16/2011,97.98
3/15/2011,97.18
3/14/2011,101.19
3/11/2011,101.16
3/10/2011,102.7
3/9/2011,104.38
3/8/2011,105.02
3/7/2011,105.44
3/4/2011,104.42
3/3/2011,101.91
3/2/2011,102.23
3/1/2011,99.63
2/28/2011,96.97
2/25/2011,97.88
2/24/2011,97.28
2/23/2011,98.1
2/22/2011,93.57
2/18/2011,86.2
2/17/2011,86.36
2/16/2011,84.99
2/15/2011,84.32
2/14/2011,84.81
2/11/2011,85.58
2/10/2011,86.73
2/9/2011,86.71
2/8/2011,86.94
2/7/2011,87.48
2/4/2011,89.03
2/3/2011,90.54
2/2/2011,90.86
2/1/2011,90.77
1/31/2011,92.19
1/28/2011,89.34
1/27/2011,85.64
1/26/2011,87.33
1/25/2011,86.19
1/24/2011,87.87
1/21/2011,89.11
1/20/2011,88.86
1/19/2011,90.86
1/18/2011,91.38
1/14/2011,91.54
1/13/2011,91.4
1/12/2011,91.86
1/11/2011,91.11
1/10/2011,89.25
1/7/2011,88.03
1/6/2011,88.38
1/5/2011,90.3
1/4/2011,89.38
1/3/2011,91.55
12/31/2010,91.38
12/30/2010,89.84
12/29/2010,91.12
12/28/2010,91.49
12/27/2010,91
12/23/2010,91.51
12/22/2010,90.48
12/21/2010,89.82
12/20/2010,88.81
12/17/2010,88.02
12/16/2010,87.7
12/15/2010,88.62
12/14/2010,88.28
12/13/2010,88.61
12/10/2010,87.79
12/9/2010,88.37
12/8/2010,88.28
12/7/2010,88.69
12/6/2010,89.38
12/3/2010,89.19
12/2/2010,88
12/1/2010,86.75
11/30/2010,84.11
11/29/2010,85.73
11/26/2010,83.76
11/24/2010,83.86
11/23/2010,81.25
11/22/2010,81.74
11/19/2010,81.51
11/18/2010,81.85
11/17/2010,80.44
11/16/2010,82.34
11/15/2010,84.86
11/12/2010,84.88
11/11/2010,87.81
11/10/2010,87.81
11/9/2010,86.72
11/8/2010,87.06
11/5/2010,86.85
11/4/2010,86.49
11/3/2010,84.69
11/2/2010,83.9
11/1/2010,82.95
10/29/2010,81.43
10/28/2010,82.18
10/27/2010,81.94
10/26/2010,82.55
10/25/2010,82.52
10/22/2010,81.69
10/21/2010,80.56
10/20/2010,81.77
10/19/2010,79.49
10/18/2010,83.08
10/15/2010,81.25
10/14/2010,82.69
10/13/2010,83.01
10/12/2010,81.67
10/11/2010,82.21
10/8/2010,82.66
10/7/2010,81.67
10/6/2010,83.23
10/5/2010,82.82
10/4/2010,81.47
10/1/2010,81.58
9/30/2010,79.97
9/29/2010,77.86
9/28/2010,76.18
9/27/2010,76.52
9/24/2010,76.49
9/23/2010,75.18
9/22/2010,74.71
9/21/2010,73.52
9/20/2010,74.86
9/17/2010,73.66
9/16/2010,74.57
9/15/2010,76.02
9/14/2010,76.8
9/13/2010,77.19
9/10/2010,76.45
9/9/2010,74.25
9/8/2010,74.67
9/7/2010,74.09
9/3/2010,74.6
9/2/2010,75.02
9/1/2010,73.91
8/31/2010,71.92
8/30/2010,74.7
8/27/2010,75.17
8/26/2010,73.36
8/25/2010,72.52
8/24/2010,71.63
8/23/2010,73.1
8/20/2010,73.46
8/19/2010,74.43
8/18/2010,75.42
8/17/2010,75.77
8/16/2010,75.24
8/13/2010,75.39
8/12/2010,75.74
8/11/2010,78.02
8/10/2010,80.25
8/9/2010,81.48
8/6/2010,80.7
8/5/2010,82.01
8/4/2010,82.47
8/3/2010,82.55
8/2/2010,81.34
7/30/2010,78.95
7/29/2010,78.36
7/28/2010,76.99
7/27/2010,77.5
7/26/2010,78.98
7/23/2010,78.98
7/22/2010,79.3
7/21/2010,76.56
7/20/2010,77.44
7/19/2010,76.54
7/16/2010,76.01
7/15/2010,76.62
7/14/2010,77.04
7/13/2010,77.15
7/12/2010,74.95
7/9/2010,76.09
7/8/2010,75.44
7/7/2010,74.07
7/6/2010,71.98
7/2/2010,72.14
7/1/2010,72.95
6/30/2010,75.63
6/29/2010,75.94
6/28/2010,78.25
6/25/2010,78.86
6/24/2010,76.51
6/23/2010,76.35
6/22/2010,77.21
6/21/2010,77.82
6/18/2010,77.18
6/17/2010,76.79
6/16/2010,77.67
